,cdf,Output Throughput
0,0.0,37.374950488982456
1,0.01,37.374950488982456
2,0.02,37.374950488982456
3,0.03,37.374950488982456
4,0.04,37.374950488982456
5,0.05,37.374950488982456
6,0.06,37.374950488982456
7,0.07,37.374950488982456
8,0.08,37.374950488982456
9,0.09,37.374950488982456
10,0.1,37.374950488982456
11,0.11,37.374950488982456
12,0.12,127.3578850228035
13,0.13,127.3578850228035
14,0.14,127.3578850228035
15,0.15,127.3578850228035
16,0.16,127.3578850228035
17,0.17,127.3578850228035
18,0.18,127.3578850228035
19,0.19,127.3578850228035
20,0.2,127.3578850228035
21,0.21,127.3578850228035
22,0.22,127.3578850228035
23,0.23,207.0584825310501
24,0.24,207.0584825310501
25,0.25,207.0584825310501
26,0.26,207.0584825310501
27,0.27,207.0584825310501
28,0.28,207.0584825310501
29,0.29,207.0584825310501
30,0.3,207.0584825310501
31,0.31,207.0584825310501
32,0.32,207.0584825310501
33,0.33,207.0584825310501
34,0.34,252.39652018530526
35,0.35000000000000003,252.39652018530526
36,0.36,252.39652018530526
37,0.37,252.39652018530526
38,0.38,252.39652018530526
39,0.39,252.39652018530526
40,0.4,252.39652018530526
41,0.41000000000000003,252.39652018530526
42,0.42,252.39652018530526
43,0.43,252.39652018530526
44,0.44,252.39652018530526
45,0.45,261.1255575348845
46,0.46,261.1255575348845
47,0.47000000000000003,261.1255575348845
48,0.48,261.1255575348845
49,0.49,261.1255575348845
50,0.5,261.1255575348845
51,0.51,261.1255575348845
52,0.52,261.1255575348845
53,0.53,261.1255575348845
54,0.54,261.1255575348845
55,0.55,261.1255575348845
56,0.56,285.1460155503723
57,0.5700000000000001,285.1460155503723
58,0.58,285.1460155503723
59,0.59,285.1460155503723
60,0.6,285.1460155503723
61,0.61,285.1460155503723
62,0.62,285.1460155503723
63,0.63,285.1460155503723
64,0.64,285.1460155503723
65,0.65,285.1460155503723
66,0.66,285.1460155503723
67,0.67,292.0723052499147
68,0.68,292.0723052499147
69,0.6900000000000001,292.0723052499147
70,0.7000000000000001,292.0723052499147
71,0.71,292.0723052499147
72,0.72,292.0723052499147
73,0.73,292.0723052499147
74,0.74,292.0723052499147
75,0.75,292.0723052499147
76,0.76,292.0723052499147
77,0.77,292.0723052499147
78,0.78,301.5697712021032
79,0.79,301.5697712021032
80,0.8,301.5697712021032
81,0.81,301.5697712021032
82,0.8200000000000001,301.5697712021032
83,0.8300000000000001,301.5697712021032
84,0.84,301.5697712021032
85,0.85,301.5697712021032
86,0.86,301.5697712021032
87,0.87,301.5697712021032
88,0.88,301.5697712021032
89,0.89,304.60059880555474
90,0.9,304.60059880555474
91,0.91,304.60059880555474
92,0.92,304.60059880555474
93,0.93,304.60059880555474
94,0.9400000000000001,304.60059880555474
95,0.9500000000000001,304.60059880555474
96,0.96,304.60059880555474
97,0.97,304.60059880555474
98,0.98,304.60059880555474
99,0.99,304.60059880555474
100,1.0,309.5134076889366
