,cdf,Time Between Tokens
0,0.0,0.0
1,0.01,0.0025061627102727618
2,0.02,0.002531350072688951
3,0.03,0.002551682099718528
4,0.04,0.0025567905723906372
5,0.05,0.0025721774353823362
6,0.06,0.0025824867534506844
7,0.07,0.0025876568971012334
8,0.08,0.0025928373913897246
9,0.09,0.002598028257038153
10,0.1,0.002608441185510322
11,0.11,0.002613663289985818
12,0.12,0.002618895849124929
13,0.13,0.002624138883857912
14,0.14,0.0026293924151569274
15,0.15,0.0026346564640361203
16,0.16,0.002639931051551709
17,0.17,0.0026452161988020626
18,0.18,0.0026505119269277927
19,0.19,0.0026558182571118326
20,0.2,0.002661135210579521
21,0.21,0.002671801072479778
22,0.22,0.0026771500235758337
23,0.23,0.0026825096832826926
24,0.24,0.0026878800730390146
25,0.25,0.00269326121432638
26,0.26,0.00269326121432638
27,0.27,0.0026986531286693764
28,0.28,0.002704055837635681
29,0.29,0.0027094693628361534
30,0.3,0.0027094693628361534
31,0.31,0.0027148937259249147
32,0.32,0.002720328948599439
33,0.33,0.0027257750526006397
34,0.34,0.002736699991764428
35,0.35000000000000003,0.002736699991764428
36,0.36,0.002747668718215662
37,0.37,0.002764204293154923
38,0.38,0.0027752832571766224
39,0.39,0.002791985017462528
40,0.4,0.0028712653697262336
41,0.41000000000000003,0.002946897248423562
42,0.42,0.0030488145653817167
43,0.43,0.0030794556714373042
44,0.44,0.0031291232598726006
45,0.45,0.0031542566538606616
46,0.46,0.003173239090473852
47,0.47000000000000003,0.003205130684214904
48,0.48,0.0032244192826793422
49,0.49,0.0032308745765385607
50,0.5,0.003243823960663577
51,0.51,0.0032568252460757714
52,0.52,0.0032698786407961205
53,0.53,0.003289556894927967
54,0.54,0.00330274147849022
55,0.55,0.0033093535735422533
56,0.56,0.0033159789060218177
57,0.5700000000000001,0.00332261750243027
58,0.58,0.0033292693893220184
59,0.59,0.0033359345933046455
60,0.6,0.003342613141038989
61,0.61,0.0033560103746731805
62,0.62,0.0033694613045807593
63,0.63,0.0033694613045807593
64,0.64,0.003376206972858198
65,0.65,0.003382966145977034
66,0.66,0.003389738850973985
67,0.67,0.0033965251149398997
68,0.68,0.0034033249650198593
69,0.6900000000000001,0.0034033249650198593
70,0.7000000000000001,0.003410138428413293
71,0.71,0.003410138428413293
72,0.72,0.0034169655323740807
73,0.73,0.003423806304210661
74,0.74,0.0034306607712861585
75,0.75,0.0034306607712861585
76,0.76,0.0034375289610184636
77,0.77,0.0034444109008803627
78,0.78,0.003451306618399643
79,0.79,0.003458216141159202
80,0.8,0.003472076713006963
81,0.81,0.0034790278175375077
82,0.8200000000000001,0.003485992838193239
83,0.8300000000000001,0.003499964739376478
84,0.84,0.0035210276604080576
85,0.85,0.0035422173389001925
86,0.86,0.0035778172269306427
87,0.87,0.0036065545704334983
88,0.88,0.003650093953619426
89,0.89,0.003679411830165301
90,0.9,0.003708965190481205
91,0.91,0.003731285884183365
92,0.92,0.003768785943320835
93,0.93,0.003799057164395718
94,0.9400000000000001,0.0038219200350263455
95,0.9500000000000001,0.0038526180338118283
96,0.96,0.0038835626016308854
97,0.97,0.003946199382133875
98,0.98,0.003993839056973498
99,0.99,0.023588363773234883
100,1.0,0.08990503764303397
